iter	MultiClass
0	0.9973339377
1	0.8947894041
2	0.8041624754
3	0.7304338085
4	0.6696051158
5	0.6141584849
6	0.5699053346
7	0.5227937028
8	0.4835511682
9	0.4485478148
10	0.4135337396
11	0.3906264495
12	0.3595104439
13	0.3379750821
14	0.3153736654
15	0.2913165595
16	0.2737695622
17	0.2548694139
18	0.239419578
19	0.224403506
20	0.2132843719
21	0.202147183
22	0.1912185546
23	0.1789730041
24	0.1676107248
25	0.1577912332
26	0.1483477588
27	0.1400379749
28	0.1324294712
29	0.1239344123
30	0.1173705767
31	0.1120513531
32	0.1052626415
33	0.09909723305
34	0.09585876402
35	0.09150855114
36	0.08820303359
37	0.08322131789
38	0.07949513697
39	0.07637298472
40	0.07274561479
41	0.06892380402
42	0.06592946547
43	0.06212985285
44	0.05919295179
45	0.0565004824
46	0.05378917962
47	0.05228849949
48	0.05011999623
49	0.0482183849
50	0.04620484277
51	0.04436982793
52	0.0427476236
53	0.04132507865
54	0.03967464569
55	0.03797199933
56	0.03660544743
57	0.0355368979
58	0.03436986742
59	0.03323164698
60	0.03181190148
61	0.03084225864
62	0.02984903292
63	0.02913142149
64	0.02816987278
65	0.02721948712
66	0.02678825895
67	0.02603212238
68	0.0252698786
69	0.02457581504
70	0.02401910605
71	0.0231361172
72	0.02243010734
73	0.02185873906
74	0.02130984295
75	0.02069186204
76	0.02005613674
77	0.01947399324
78	0.01916304653
79	0.01866479928
80	0.0183393531
81	0.01756058284
82	0.0171633953
83	0.01667466907
84	0.01634882909
85	0.01594343274
86	0.01576885835
87	0.01550379532
88	0.01513212314
89	0.0146051418
90	0.01428586349
91	0.01413137884
92	0.01388317247
93	0.0135992488
94	0.01340634313
95	0.01325043425
96	0.01303562651
97	0.01285095602
98	0.01266488687
99	0.01233218972
100	0.01203428896
101	0.01185034464
102	0.0117122387
103	0.01144272696
104	0.01131393463
105	0.01119482678
106	0.01102639787
107	0.01087158403
108	0.01074137946
109	0.01061212865
110	0.01048765418
111	0.01032669346
112	0.01011634188
113	0.009992010891
114	0.009891115107
115	0.009737990438
116	0.009619384598
117	0.009538139166
118	0.009436412483
119	0.009333909036
120	0.009265795795
121	0.00917119151
122	0.009064264478
123	0.008930612189
124	0.008844333422
125	0.008777244102
126	0.008697852558
127	0.008609657908
128	0.008461179612
129	0.008397893755
130	0.008315006691
131	0.008213013594
132	0.008080189966
133	0.007993344197
134	0.007904448109
135	0.007855411249
136	0.00777390458
137	0.007670274279
138	0.007620280664
139	0.007540987147
140	0.007472575805
141	0.007413859516
142	0.007356213619
143	0.00730233784
144	0.007250684634
145	0.007168555374
146	0.007070599777
147	0.007000119935
